5,Chemistry,https://www.chem.iitb.ac.in/,hod@chem.iitb.ac.in,Department
11,Economics,https://www.economics.iitb.ac.in/,office.economics@iitb.ac.in,Department
12,Energy Science and Engineering,https://www.ese.iitb.ac.in/,office.ese@iitb.ac.in,Department
13,Humanities & Social Sciences,https://www.hss.iitb.ac.in/,office.hss@iitb.ac.in,Department
14,Mathematics,http://www.math.iitb.ac.in/,head.math@iitb.ac.in,Department
15,Mechanical Engineering,http://www.me.iitb.ac.in/,office.me@iitb.ac.in,Department
16,Metallurgical Engineering & Materials Science,http://www.met.iitb.ac.in/,office.met@iitb.ac.in,Department
17,Physics,https://www.phy.iitb.ac.in/,office@phy.iitb.ac.in,Department
18,Desai Sethi School of Entrepreneurship (DSSE),http://www.iitb.ac.in/dsce/,dsse.iitb@gmail.com,School
19,Shailesh J. Mehta School of Management (SJMSoM),https://www.som.iitb.ac.in/,hod@som.iitb.ac.in,School
